batch_label,source_row_no,language_code,headword,primary_definition,english_translation,swahili_translation,part_of_speech,dialect_variant,register,pronunciation_ipa,etymology,audio_url,category,created_by,source_name,source_license,source_url,source_note
BATCH_SWEN_FREEDICT_2026_02_24_A,109,sw,hatuna,we do not have; we do not have,wa na,,v,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,110,sw,hauna,it does not have; it does not have,wa na,,v,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,111,sw,havina,it does not have; it does not have,wa na,,v,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,112,sw,hawana,they do not have; they do not have,wa na,,v,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,113,sw,hayana,it does not have; it does not have,wa na,,v,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,114,sw,hazina,it does not have; it does not have,wa na,,v,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,115,sw,hekalu,temple; temple,mahekalu,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,116,sw,hela,money; money,fedha,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,117,sw,hela,money; money,pesa,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,118,sw,hema,tent; tent,mahema,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,119,sw,hindi,maize; maize,mahindi,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,120,sw,hodi,May I come in?; Hello!; May I come in?; Hello!,karibu,,interj,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,121,sw,hongera,congratulations; congratulations,pongezi,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,122,sw,huna,you; you,wa na,,v,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,123,sw,huria,"free, independent; free, independent",huru,,adj,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,124,sw,huru,"free, independent; free, independent",huria,,adj,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,125,sw,ibilisi,"lucifer, satan; lucifer, satan",maibilisi,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,126,sw,ina,it has; it has,wa na,,v,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,127,sw,ini,liver; liver,maini,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,128,sw,ja,come; come,njoo,,v,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,129,sw,jahazi,dhow; dhow,majahazi,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,130,sw,jambo,"affair, business, case, matter; affair, business, case, matter",mambo,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
BATCH_SWEN_FREEDICT_2026_02_24_A,131,sw,jani,leaf; blade of grass; leaf; blade of grass,majani,,n,,both,,,,,,FreeDict,See COPYING (swh-eng package),https://freedict.org/downloads/,swh-eng.tei
